序号,姓名,性别,班级,生源省份,政治面貌,年龄,生日,民族
377,骆子豪,男,软件工程1班,山东,党员,18,2005-01-24,汉族
378,夏佳怡,女,软件工程2班,福建,共青团员,18,2005-07-30,汉族
379,洪浩然,男,软件工程3班,山东,群众,18,2005-03-11,汉族
380,林梦洁,女,软件工程4班,湖南,预备党员,18,2005-09-22,汉族
381,章宇轩,男,软件工程5班,山东,共青团员,17,2006-04-14,汉族
382,任思颖,女,软件工程6班,湖北,党员,18,2005-11-04,汉族
383,季宇航,男,软件工程7班,山东,群众,18,2005-02-01,汉族
384,管雯婧,女,软件工程8班,陕西,共青团员,19,2004-10-19,汉族
385,鲁云鹏,男,智科1班,山东,预备党员,18,2005-06-10,汉族
386,莫玉婷,女,智科2班,山西,共青团员,18,2005-12-25,汉族
387,房晨旭,男,人工智能1班,山东,党员,18,2005-05-04,汉族
388,左欣怡,女,人工智能2班,甘肃,共青团员,17,2006-03-16,汉族
389,辛博文,男,计算机1班,山东,群众,18,2005-08-23,汉族
390,程雨薇,女,计算机2班,河北,预备党员,18,2005-01-09,汉族
391,覃家豪,男,计算机3班,山东,共青团员,19,2004-12-02,汉族
392,项若曦,女,计算机4班,辽宁,党员,18,2005-07-13,汉族
393,解昊天,男,软件工程1班,山东,群众,18,2005-04-06,汉族
394,单婉清,女,软件工程2班,吉林,共青团员,18,2005-10-01,汉族
395,欧祥瑞,男,软件工程3班,山东,预备党员,17,2006-02-24,汉族
396,巩晓萱,女,软件工程4班,黑龙江,共青团员,18,2005-09-08,汉族
397,舒子涵,男,软件工程5班,山东,党员,18,2005-06-01,汉族
398,阮诗雨,女,软件工程6班,安徽,共青团员,19,2004-11-25,汉族
399,纪浩宇,男,软件工程7班,山东,群众,18,2005-03-18,汉族
400,强雅文,女,软件工程8班,江西,预备党员,18,2005-08-14,汉族
401,贾明杰,男,智科1班,山东,共青团员,18,2005-01-27,汉族
402,路思萌,女,智科2班,重庆,党员,18,2005-07-20,汉族
403,娄家旭,男,人工智能1班,山东,群众,20,2003-09-11,汉族
404,丛若兰,女,人工智能2班,云南,共青团员,18,2005-04-23,汉族
405,盖文博,男,计算机1班,山东,预备党员,18,2005-02-10,汉族
406,屠佳琪,女,计算机2班,贵州,共青团员,17,2006-05-29,汉族
407,敖宇轩,男,计算机3班,山东,党员,18,2005-05-15,汉族
408,李梦瑶,女,计算机4班,广西,共青团员,19,2004-10-05,汉族
409,宋浩然,男,软件工程1班,山东,群众,18,2005-03-02,汉族
410,王静怡,女,软件工程2班,甘肃,预备党员,18,2005-09-25,汉族
411,张伟,男,软件工程3班,山东,共青团员,18,2005-01-13,汉族
412,刘雨欣,女,软件工程4班,内蒙古,党员,18,2005-08-18,汉族
413,陈志强,男,软件工程5班,山东,群众,17,2006-04-06,汉族
414,赵雅婷,女,软件工程6班,宁夏,共青团员,18,2005-11-11,汉族
415,周明,男,软件工程7班,山东,预备党员,18,2005-06-04,汉族
416,吴思琪,女,软件工程8班,青海,共青团员,18,2005-02-21,汉族
417,郑浩然,男,智科1班,山东,党员,18,2005-07-09,汉族
418,孙梦瑶,女,智科2班,新疆,群众,19,2004-12-16,汉族
419,林志强,男,人工智能1班,山东,共青团员,18,2005-04-30,汉族
420,黄诗雨,女,人工智能2班,海南,预备党员,18,2005-10-23,汉族
421,徐明,男,计算机1班,山东,共青团员,17,2006-03-14,汉族
422,朱雅婷,女,计算机2班,西藏,党员,18,2005-08-07,汉族
423,马浩然,男,计算机3班,山东,群众,18,2005-01-20,汉族
424,高思琪,女,计算机4班,天津,共青团员,18,2005-09-01,汉族
425,谢志强,男,软件工程1班,山东,预备党员,19,2004-10-29,汉族
426,冯雨欣,女,软件工程2班,北京,共青团员,18,2005-06-24,汉族
427,董明,男,软件工程3班,山东,党员,18,2005-02-08,汉族
428,曹雅婷,女,软件工程4班,上海,共青团员,18,2005-07-27,汉族
429,许文博,男,软件工程5班,山东,群众,18,2005-04-11,汉族
430,唐静雯,女,软件工程6班,江苏,预备党员,17,2006-05-04,汉族
431,郭子豪,男,软件工程7班,山东,共青团员,18,2004-12-30,汉族
432,韩佳怡,女,软件工程8班,浙江,党员,18,2005-08-22,汉族
433,邓浩然,男,智科1班,山东,群众,19,2004-12-09,汉族
434,于梦洁,女,智科2班,广东,共青团员,18,2005-05-17,汉族
435,江宇轩,男,人工智能1班,山东,预备党员,18,2005-03-06,汉族
436,沈思颖,女,人工智能2班,四川,共青团员,18,2005-09-29,汉族
437,极蒋宇航,男,计算机1班,山东,党员,18,2005-06-12,汉族
438,蔡雯婧,女,计算机2班,河南,共青团员,17,2006-02-05,汉族
439,贾云鹏,男,计算机3班,山东,群众,18,2005-04-25,汉族
440,丁玉婷,女,计算机4班,河北,预备党员,18,2005-09-18,汉族
441,魏晨旭,男,软件工程1班,山东,共青团员,19,2004-11-11,汉族
442,潘欣怡,女,软件工程2班,辽宁,党员,18,2005-07-04,汉族
443,田博文,男,软件工程3班,山东,群众,18,2005-01-29,汉族
444,杜雨薇,女,软件工程4班,吉林,共青团员,18,2005-08-21,汉族
445,范家豪,男,软件工程5班,山东,预备党员,17,2006-04-14,汉族
446,黎若曦,女,软件工程6班,黑龙江,共青团员,18,2005-11-07,汉族
447,石昊天,男,软件工程7班,山东,党员,18,2005-05-31,汉族
448,顾婉清,女,软件工程8班,安徽,共青团员,18,2005-01-23,汉族
449,孟祥瑞,男,智科1班,山东,群众,18,2005-09-16,汉族
450,龚晓萱,女,智科2班,江西,预备党员,19,2004-10-10,汉族
451,熊子涵,男,人工智能1班,山东,共青团员,18,2005-05-03,汉族
452,侯诗雨,女,人工智能2班,重庆,党员,18,2005-12-26,汉族
453,秦浩宇,男,计算机1班,山东,群众,17,200极6-03-19,汉族
454,薛雅文,女,计算机2班,宁夏,共青团员,18,2005-08-12,汉族
455,陆明杰,男,计算机3班,山东,预备党员,18,2005-04-05,汉族
456,尹思萌,女,计算机4班,青海,共青团员,18,2005-10-29,汉族
457,段家旭,男,软件工程1班,山东,党员,20,2003-09-10,汉族
458,白若兰,女,软件工程2班,新疆,共青团员,18,2005-07-15,汉族
459,邱文博,男,软件工程3班,山东,群众,18,2005-02-27,汉族
460,彭佳琪,女,软件工程4班,海南,预备党员,17,2006-05-18,汉族
461,龙宇轩,男,软件工程5班,山东,共青团员,18,2005-04-11,汉族
462,史梦瑶,女,软件工程6班,西藏,党员,19,2004-08-24,汉族
463,贺浩然,男,软件工程7班,山东,群众,18,2005-02-03,汉族
464,倪静怡,女,软件工程8班,天津,共青团员,18,2005-10-21,汉族
465,安志强,男,智科1班,山东,预备党员,18,2005-01-04,汉族
466,易思婷,女,智科2班,北京,共青团员,18,2005-08-10,汉族
467,武明哲,男,人工智能1班,山东,党员,17,2006-03-30,汉族
468,戴雨欣,女,人工智能2班,上海,共青团员,18,2005-11-15,汉族
469,钟浩然,男,计算机1班,山东,群众,18,2005-05-02,汉族
470,严思琪,女,计算机2班,江苏,共青团员,19,2004-09-08,汉族
471,宋志强,男,计算机3班,山东,预备党员,18,2005-03-21,汉族
472,姜雅婷,女,计算机4班,浙江,党员,18,2005-09-26,汉族
473,钱明,男,软件工程1班,山东,共青团员,18,2005-02-17,汉族
474,傅思颖,女,软件工程2班,广东,群众,18,2005-07-04,汉族
475,汤浩然,男,软件工程3班,山东,预备党员,17,2006-05-10,汉族
476,邵雨薇,女,软件工程4班,四川,共青团员,18,2005-10-05,汉族
477,万文博,男,软件工程5班,山东,党员,18,2005-03-28,汉族
478,柯静雯,女,软件工程6班,河南,共青团员,19,2004-11-11,汉族
479,骆子豪,男,软件工程7班,山东,群众,18,2005-01-23,汉族
480,夏佳怡,女,软件工程8班,福建,预备党员,18,2005-07-29,汉族
